utc,filter,pm,lat,lon,device
1405627946,,0.007,37.8039083333,-122.300101667,A
1405627947,,0.006,37.8039066667,-122.300098333,A
1405627948,,0.006,37.80391,-122.300096667,A
1405627949,,0.005,37.8039116667,-122.300091667,A
1405627950,,0.006,37.8039066667,-122.300086667,A
1405627951,,0.006,37.8039033333,-122.300085,A
1405627952,,0.006,37.8039033333,-122.300086667,A
1405627953,,0.006,37.803915,-122.300073333,A
1405627954,,0.006,37.8039216667,-122.300068333,A
1405627955,,0.007,37.8039316667,-122.300058333,A
1405627956,,0.006,37.803935,-122.300055,A
1405627957,,0.007,37.803935,-122.30005,A
1405627958,,0.007,37.8039333333,-122.300046667,A
1405627959,,0.006,37.8039333333,-122.300048333,A
1405627960,,0.006,37.8039366667,-122.300046667,A
1405627961,,0.006,37.8039366667,-122.300046667,A
1405627962,,0.006,37.803945,-122.300046667,A
1405627963,,0.006,37.8039516667,-122.300046667,A
1405627964,,0.006,37.8039466667,-122.300035,A
1405627965,,0.007,37.80395,-122.300031667,A
1405627966,,0.007,37.8039583333,-122.300018333,A
1405627967,,0.007,37.803955,-122.300003333,A
1405627968,,0.007,37.80396,-122.300001667,A
1405627969,,0.007,37.8039783333,-122.299988333,A
1405627970,,0.007,37.8039916667,-122.299986667,A
1405627971,,0.007,37.80401,-122.299993333,A
1405627972,,0.006,37.80401,-122.299988333,A
1405627973,,0.006,37.8040233333,-122.299985,A
1405627974,,0.006,37.8040383333,-122.299988333,A
1405627975,,0.006,37.8040433333,-122.300005,A
1405627976,,0.006,37.8040483333,-122.300005,A
1405627977,,0.006,37.80405,-122.299993333,A
1405627978,,0.006,37.80406,-122.299993333,A
1405627979,,0.005,37.804065,-122.299995,A
1405627980,,0.005,37.804075,-122.299978333,A
1405627981,,0.006,37.80408,-122.299951667,A
1405627982,,0.006,37.8040783333,-122.299938333,A
1405627983,,0.006,37.80407,-122.299933333,A
1405627984,,0.006,37.804065,-122.299921667,A
1405627985,,0.007,37.8040633333,-122.299916667,A
1405627986,,0.007,37.8040583333,-122.299893333,A
1405627987,,0.006,37.8040566667,-122.299878333,A
1405627988,,0.006,37.8040716667,-122.299888333,A
1405627989,,0.006,37.8040983333,-122.299893333,A
1405627990,,0.005,37.8041133333,-122.299896667,A
1405627991,,0.005,37.8041233333,-122.299895,A
1405627992,,0.005,37.8041283333,-122.299886667,A
1405627993,,0.005,37.8041216667,-122.299866667,A
1405627994,,0.005,37.804125,-122.299845,A
1405627995,,0.006,37.8041266667,-122.299826667,A
